optimizer_name,benchmark_suite,f_id,i_id,precision
CMA,bbob,1,1,1.6757248033627548e-08
CMA,bbob,1,2,1.6898468402359867e-08
CMA,bbob,1,3,1.9869929701599176e-08
CMA,bbob,1,4,1.943976712937001e-08
CMA,bbob,1,5,2.301760737566383e-08
CMA,bbob,2,1,1.784621872502612e-08
CMA,bbob,2,2,2.4047004387739435e-08
CMA,bbob,2,3,1.6752309761614015e-08
CMA,bbob,2,4,1.745522126839205e-08
CMA,bbob,2,5,1.9407480067457072e-08
CMA,bbob,3,1,13.431937204122818
CMA,bbob,3,2,15.919329810023044
CMA,bbob,3,3,16.41680176228985
CMA,bbob,3,4,14.924365708247871
CMA,bbob,3,5,15.421840191175264
CMA,bbob,4,1,19.899120517751726
CMA,bbob,4,2,20.396622844569357
CMA,bbob,4,3,19.89914333860966
CMA,bbob,4,4,20.396630432756222
CMA,bbob,4,5,17.411758294947077
CMA,bbob,5,1,29.577139180741717
CMA,bbob,5,2,23.73930341027085
CMA,bbob,5,3,23.17206959272105
CMA,bbob,5,4,29.16796718631582
CMA,bbob,5,5,19.81260159832948
CMA,bbob,6,1,1.663592641421019e-08
CMA,bbob,6,2,1.5723570001568987e-08
CMA,bbob,6,3,1.6142507774929982e-08
CMA,bbob,6,4,1.8493963693799742e-08
CMA,bbob,6,5,1.5423836430272786e-08
CMA,bbob,7,1,2.35015457110638
CMA,bbob,7,2,1.7685089535581753
CMA,bbob,7,3,1.9651860257336415
CMA,bbob,7,4,0.9006600795433393
CMA,bbob,7,5,0.8932855893679914
CMA,bbob,8,1,1.8567888560028223e-08
CMA,bbob,8,2,1.937854676725692e-08
CMA,bbob,8,3,2.01649754671962e-08
CMA,bbob,8,4,2.15922781876543e-08
CMA,bbob,8,5,2.229068130077394e-08
CMA,bbob,9,1,2.4994101011088787e-08
CMA,bbob,9,2,2.30272902967954e-08
CMA,bbob,9,3,1.8111787625230136e-08
CMA,bbob,9,4,2.4560698363984557e-08
CMA,bbob,9,5,2.4441320078949502e-08
CMA,bbob,10,1,2.210059335538972e-08
CMA,bbob,10,2,1.8420561076482045e-08
CMA,bbob,10,3,2.0482104901020648e-08
CMA,bbob,10,4,2.337850446565426e-08
CMA,bbob,10,5,2.197435833295458e-08
CMA,bbob,11,1,1.8791240563587053e-08
CMA,bbob,11,2,1.9804863526928784e-08
CMA,bbob,11,3,2.050934533315285e-08
CMA,bbob,11,4,2.1767391444882378e-08
CMA,bbob,11,5,2.3510118296599103e-08
CMA,bbob,12,1,1.660032467043493e-08
CMA,bbob,12,2,1.5064244962559314e-08
CMA,bbob,12,3,1.5938606878762585e-08
CMA,bbob,12,4,1.509274838440433e-08
CMA,bbob,12,5,1.632333024303989e-08
CMA,bbob,13,1,1.683768502402927e-08
CMA,bbob,13,2,2.0280580770304368e-08
CMA,bbob,13,3,1.673188876338827e-08
CMA,bbob,13,4,1.531998350401409e-08
CMA,bbob,13,5,1.6730041352275293e-08
CMA,bbob,14,1,1.6704721161886482e-08
CMA,bbob,14,2,1.8778649746309384e-08
CMA,bbob,14,3,1.702957774796232e-08
CMA,bbob,14,4,1.733767263090158e-08
CMA,bbob,14,5,1.615234879182026e-08
CMA,bbob,15,1,16.914288865981803
CMA,bbob,15,2,10.944544606818894
CMA,bbob,15,3,11.442008992686706
CMA,bbob,15,4,13.431924580174062
CMA,bbob,15,5,10.944544605647692
CMA,bbob,16,1,0.2957817999855692
CMA,bbob,16,2,0.15813243066708083
CMA,bbob,16,3,0.12906317615171758
